NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	Cancer	T.cells.proliferative	Mast.cells
AQP3	44.0189360892328	110.769591799972	27.2738055999932	142.247432237908	1	1	63.2915427638231	1	53.0790110452567	155.713827145648	49.0153751076306	2607.11275845757	47.3186861882878	29.4859145060805
AQP4	1	1	1	1	1	1	1	1	1	1	1	138.100319769861	1	1
AQP9	1	1	69.2059206501357	1	1	1	1	1	1	1	1	1	1	1
ARAP2	98.1943824423554	50.793066299228	27.809612268334	85.8635945507399	72.6445057890808	31.2194531450684	1	24.1855144807345	1	1	97.318629725827	51.3580612799413	66.8540535319214	1
ARAP3	1	1	1	1	1	1	1	119.847293402418	1	1	1	1	1	1
AREL1	1	16.5248471499076	1	1	15.5617472530298	1	1	1	1	1	1	1	1	16.2724657877094
ARFGEF3	1	1	1	1	1	1	1	20.6492691862185	1	1	1	68.0188982343091	1	1
ARHGAP11A	1	1	1	1	1	1	1	1	1	1	1	1	39.2058562720192	1
ARHGAP19	1	1	1	1	1	1	1	1	1	1	1	18.5410639838557	45.0942287390488	1
ARHGAP24	1	1	18.085008517778	1	1	182.674300209692	60.0908165875816	1	36.0891370169358	1	1	38.1634560213474	1	1
ARHGAP29	1	1	1	1	1	1	102.03574601734	531.747608286525	15.6021845203058	1	1	52.8761635118339	1	1
ARHGAP31	1	1	52.0250860207622	1	1	22.9979156929415	1	145.683968292306	1	1	1	12.5550186408988	1	51.6939731283453
ARHGAP42	1	1	1	1	1	1	74.0765035640016	1	17.3504250177801	1	1	73.8517741378317	1	1
ARHGAP6	1	1	12.7467170620873	1	1	1	37.6273364556094	44.6754034850885	28.1110436293473	14.7130459095528	1	1	1	64.0317451132683
ARHGAP9	258.603218205482	191.89971236365	59.09017282897	164.468044087815	188.723960793192	90.6095464996019	1	1	1	41.7826063917259	146.441956522672	1	119.405770945302	18.6245703572793
ARHGEF10	1	1	1	1	1	1	12.4441372902	67.5032953215978	14.0607107624195	1	1	1	1	1
ARHGEF10L	1	1	26.2957301680135	1	1	1	1	1	1	1	1	1	1	1
ARHGEF15	1	1	1	1	1	1	1	112.053820987411	1	1	1	1	1	1
ARHGEF17	1	1	1	1	1	1	93.0585104859094	1	25.7514118010391	1	1	45.8344425610682	1	1
ARID3A	1	1	21.5552214617484	1	1	14.4220385111049	1	1	1	31.9440162674461	1	1	1	1
ARIH2OS	1	1	1	1	30.4015640446211	1	1	1	1	13.5323753243012	1	1	1	1
ARMC2	1	1	1	1	20.9351301460979	1	1	1	1	1	1	1	1	1
ARMC6	1	1	1	1	28.9286906433084	1	16.4349721616064	1	14.4021659093902	1	1	1	20.6765082859385	1
ARMH1	17.0959815351534	1	21.5761476113494	29.7160984647772	1	1	1	1	1	1	83.1512129892942	12.0913818929426	19.1953774817721	109.281660635842
